Label_Emosi,Teks_Komentar
Anger,SALAM OLAHRAGA dulu 😂😂
Disgust,waduk silah
Anger,haling kuaing
Anger,moodarrrr oo
Anger,"kan tai
udh AQ bilang umung duang"
Disgust,😁😁😁😁😁
Disgust,proses hukum tetap lanjut...
Anger,podaraneun
Neutral,assalamualaikum
Disgust,"tetap d proses hukum,, jgn percaya dgn klarifikasi dia"
Disgust,GK usah d maapin
Disgust,proses aja dgn hukum saya orang Sunda sangat marsh
Anger,menolak kerassss
Disgust,teu narima aing mah
Disgust,"Intinya kalau tidak di peringatkan berarti tidak merasa menghina suku Sunda,,,Semoga Proses hukum tetap di jalankan"
Disgust,harus tetap diproses
Anger,ameng k die k bandung urang ngopi ah..
Disgust,"maaf abang aku Terima, tapi hukum terus berlanjut,"
Disgust,hukum harus tetap berjalan gx ada alasan apapun
Disgust,😳😳😳
Disgust,yah lagu lama
Disgust,"teu bisa
tetep kita proses hukum"
Anger,mengapa kau ngatain orang Sunda
Anger,dari seluruh orang Sunda mungkin ada yg memaafkan & ada yg tidak. kalo gua tidak!!! 😡😡😡
Disgust,mnta maaf ms tdk smudah it ya krn q orng Sunda asli bnten
Disgust,proses
Disgust,maaf g cukup
Disgust,hahahaha kok dagel
Disgust,"maap diterima bos, tapi kasus lanjut biar ada epek kedepanya bagi pengguna medsos lainnya."
Disgust,hukum tetap berjalan woy
Disgust,di hukum dulu lah
Disgust,proses hukum harus dijalani...biar lisan tdk seenaknya
Disgust,teu hayang teuing ngemaaf keun na oge
Disgust,ilmu lebih tinggi dari pada adab bro
Disgust,proses hukum. enak aja cuma minta maaf.
Disgust,mimpi abg nii🤣🤣
Disgust,"malu sama nama mengandung mama nabi, dan nama syurga"
Sadness,saya suku Sunda Banten bang sama tersinggung
Disgust,moal di maapken ku aing mah
Disgust,bikin normal dulu solar tanpa BARCODE
Disgust,takut masuk penjara....
Disgust,"ttp proses hukum,,"
Disgust,tidak bisa menerima bos maaf maneh
Disgust,Proses Hukum tetap Berjalan
Disgust,🤣🤣🤣
Disgust,punya lisan itu harus di jaga mang biar tidak terjadi masalah yang di anggap hal kecil bisa menjadi besar
Disgust,lah kemaren katanya suruh cari? kok udh klarifikasi?😂
Neutral,sama kaya yg ini
Disgust,syukurin luuu
Disgust,msih bisa dproses g...lw g enk ni bisa main olokolokan ksuku ksuku yg lain😂😂
Disgust,telaaaaaasat
Disgust,HAHAHAHA
Anger,jangan cuma di media ayo berdepan
Disgust,proses hukum jngan hanya permintaan maafan kasusnya selesai
Disgust,kudu aya perwakilan ddinya na ti urg Sunda. titah salam cium tangan.
Disgust,"Sunda bukan hanya d Jawa Barat, Banten Baduy Adalah sunda"
Disgust,"twak,"
Sadness,biarpun saya bukan orang sunda tapi ikutan sakit hati dengar ucapannya kemarin. ikut geram saya.
Disgust,jangan sampai berakhir dengan minta maaf
Neutral,inalillahi
Anger,prettttttttttt
Disgust,ah ha
Disgust,bikin resah...tangkap..
Disgust,😂😂😂
Disgust,bengetsiahurung
Anger,penjara atau mati
Disgust,Nasi sdh menjadi bubur.
Disgust,saya GK maafin
Disgust,LANJUT hukum
Disgust,saudara2... saya... 🤭 gubrakkkk memang ada ngaku dikau saudara gue 😂😂
Disgust,proses HUKUM ..
Disgust,jangan di ulangi Bos saya juga orang sunda Banten Pandeglang...
Disgust,kau orang mana
Disgust,"hukum seberat beratnya ..biar dinegara ini suku"" saling menghormati saling menghargai .."
Neutral,"saudara???????
ari sia naon aing emang?"
Disgust,biar hukum yg menyelesaikan
Disgust,proses aja
Anger,prettt
Disgust,"orang sunda pada ramah selalu lapang dada dan memaafkan prilakumu,tapi hukum tetap berjalan"
Anger,siar barudak tajongan lah
Disgust,"tidak perlu klarivikasi, sudah terlambat"
Disgust,"nasi udah JD Bu""r"
Sadness,sy org jwa suami sunda sdh 30thn di bdg byk ketipu yaa rasanya jrngkel bgt tp ya bgtu lah .
Anger,pang nyiduhankeun atuh lah
Disgust,"sya orang bugis tdk terima suku sunda di begituin, jngn mau damai"
Disgust,hukum tetap berjalan apapun itu alasanya
Disgust,ngomong naon sia
Anger,ke'he'd
Disgust,"stop normalisasi klarifikasi beres, harus di proses"
Disgust,suwargo langgreng
Disgust,"kemaren berani..
sekarang ...😅😅😅"
Disgust,saya mengharapkan kepada yang berwajib segera tangkap orang ini dan adili
Disgust,silahkan klarifikasi tapi hukum tetap berjalan 💪💪
Disgust,jangan di maaf kn
Disgust,tong di hampura nu kieu maa
Disgust,Tdk kta maaf ttp hrs di usut
Anger,Cuk ngomong opo????kamplengi sisan
Disgust,🤣🤣🤣
Disgust,harus di polisikan biar gk terulang kembali
Disgust,"Kami sebagai warga Jabar tidak cukup dengan minta maaf, proses hukum tetap berlanjut."
Disgust,hukum harus berjslan
Disgust,ujung2ya lbran sblm puasa maaff
Disgust,kan apa saya bilang..pasti bilang maaf aja
Anger,babad
Anger,bng di mana sekarang ada nya
Anger,g usah panjang kl lebar...basi
Fear,"saya maafkan Bang, semoga menjadi pembelajaran buat kita semua, karena pernyataan tsb yg awalnya bisa jadi pemicu perang antar suku."
Disgust,"😂😂😂
ah kemaren gak gitu"
Disgust,Jagan di maaf kn
Disgust,"Penting sekali untuk Menjaga Lisan.
siapa pun Anda."
Anger,jangan macem macem sama orang sunda+viking boss
Disgust,"klarifikasi:10%
alasannya:90%"
Disgust,gak ada maaf aing orang Sunda asa teu genah
Disgust,tangkep adili
Disgust,"minta ma'f boleh silahkan,tadi hukum tetep berlaku"
Disgust,wadull nasi udah jadi bubur
Disgust,moal di hampura.
Disgust,proses hukum
Disgust,"Harus kita pake hukum
Kawan 🤣"
Disgust,preeettt lah..
Disgust,"gk bisa cuma minta maaf doang mahh, harus di usut sampe masuk penjara, soalnya bukan perkara sepele ini mah"
Disgust,itu ujaran kebencian wajib proses hukum
Anger,l😡😡😡😡
Disgust,makanya lidah itu harus di jaga lisan
Neutral,"peringatan bagi kita semua ucapan dan lisan harus dijaga.mau suku sunda,jawa,batak,ambon dll.kita semua saudara"
Disgust,moal fi hampura pasti di teangan
Anger,pulkeun ath kehed kawanina Ari benermah
Neutral,😅
Disgust,katanya kata KDM mau di proses hukum
Disgust,aku tak terima
Disgust,katanyaa di senggol kuman g ngaruh skrng ko🗿🤣
Disgust,a h psnjara ken
Anger,😡😡😡😡😡😡
Anger,lamun teu bga perselisihan jeng orng sunda naha mamawa suku aing
Disgust,HANYA BISA DIMAAFKAN BILA SUDAH DI PENJARAKAN
Disgust,lagi nyanyi bro
Anger,tong klarifikasi gelut jeng aing sakalian
Disgust,"izinnn,,harus di ciduk izinnn🗿🗿"
Disgust,iya diterima maaf nya asal pake hukum adat sunda jeung bui
Disgust,tangkap jangan kasi ruang
Disgust,🤣🤣🤣
Disgust,Kok jadi saudara kamu bagaimana awalnya
Disgust,percuma
Neutral,urg teu bisa
Anger,katakan Prettt katakan Prettt sekali lagi prett........
Disgust,mulutmu adalah harinau mu
Neutral,sini ibu ibu arisan pada kumpul
Disgust,woiiiiii
Disgust,🤣🤣🤣
Disgust,noooooo
Anger,preettt
Anger,hayo cari org ini scpatya
Disgust,proses hukum harus tetap berjalan harus di pertanggung jawabkan biar ada efek jera untuk bisa berhati hati
Disgust,"lamun di hampura Jeung teu di proses hukum kena bakal deudeuieun, jeng bakal Aya NU lain nurutan, henteu di bere efek jera mah, 😡"
Disgust,hukum tetep berjalan ...
Neutral,"omongana teu di jaga ,"
Neutral,maaf mau tanya apakah prmohonan maaf di medsos apakah urusannya selesai atau bagaimana ya
Disgust,minta maaf gampang ya kaya hari raya aja minta maaf cukup sesalah apa pun
Neutral,ari dia klarifikasi apa ceramah eeyyyy😂😂😂
Disgust,sedang lucu2 nya umur segeni😅
Disgust,😂 hayang seri lajuna mah hahahah
Disgust,teruskan proses hukum...biar jadi pengajaran..
Disgust,hah kompilkasi?apa gadenger
Disgust,malah cerita kehidupan nya weeee
Disgust,basi mang ah
Disgust,"maaf boleh, tpi proses hukum harus jaln terus"
Disgust,gampang banget untuk minta maaf
Neutral,msh ga habis pikir ko bisa ga ada rasa takutnya ya
Disgust,baru sadar ya masss😁
Disgust,Na ari sia..
Disgust,lol
Disgust,nga resmi bagi kami tida bisa lepas gituh ajah
Neutral,"gemana nih kang,,di maafin gak ?"
Disgust,"Tak segampang itu, sy yg bukan org sunda aja gak terima 😡😡😡"
Disgust,nasi udah jadi bubur gampang maap kau
Disgust,ah waduk
Anger,Kalau ktemu di urus dlu
Disgust,"biasa ges benang mah ngajelaskeun, ucapan mah moal bisa di tarik deui, kaca peupeus loba gantina, tapi raheutna hate cik kunaon ubarna"
Disgust,trs siapa yg ngomong seperti itu..
Anger,Akan prettt pada klarifikasi
Disgust,"gak ada kata maaf,"
Anger,Kita cari sampai dapat dulu
Disgust,hukum dulu baru d maap pin
Disgust,😂😂
Disgust,😂😂😂
Anger,ogah lanjut terus .
Disgust,apapun alasannya proses hukum harus tetap jalan.
Disgust,lombok dong di senggol
Disgust,aing te tarima suku Sunda di samakan dengan bintang
Disgust,😂😂😂
Disgust,ngk ad maaf bagi mu..
Anger,Kecelakaan Murni Apa cukkkkkkkk
Disgust,kata syeikh nawawi albantani Yang orang sunda janganlah kalian menghina suatu suku karena kita tidak lebih baik dari orang lain
Anger,T . A . I . K
Disgust,tehayang ngahampura nage
Anger,aing urang Sunda asli Jampang kulon
Disgust,saya orang Sunda saya tidak terima dengan alasan apa pun kamu bicara saya merasa teer sakiti
Disgust,enak benar.minta.maap.
Disgust,proses hukum tetep berjalan....jngn Kash maaf buat perhatian yg lain .alasan apa pun
Disgust,so lasiyan
Disgust,"segitu ...🥱,"
Disgust,TANGKAP TANPA MAAF
Neutral,masih beruntung kamu
Disgust,dah rontok belum giginya si resbob??
Disgust,bijaksanalah bersosial media...emang sengaja
Neutral,Tae Tae
Disgust,terus siapa yg ngucap kemarin ?
Disgust,proses Hukum.
Anger,KOE MANEHHHH!!
Disgust,lagu lama kaset jadul...
Disgust,tidak ada maaf
Disgust,Moal ngga hampura maneh urang
Disgust,Jagan terima klarifikasinya.tetap jalur hukum.jgn terima didaerah
Disgust,ee lah🤣🤣🤣
Disgust,moal di hampura ku aing mah ah😂
Anger,PROSES SECARA HUKUM ATAU DIMANAPUN KETEMU SALAM OLAHRAGA.
Disgust,pecat oknum
Disgust,wadukkkk
Disgust,😁😁😁😁😂😂😂
Disgust,"Harus dikasih Paham,
ngga ada jalur buat damai
mulutmu harimau mu🔥"
Disgust,tangkap...
Disgust,teharayang aing mah maaf Ken nageh
Disgust,ketakutan😇
Disgust,saya orang Tasik asli tidak ada kata maaf
Disgust,"makana nya capek teh ulah. asal""an"
Disgust,"Aduch Eta Beungeut ...
Meuni Pireusepeun Pereup"
Neutral,mohon maaf saya sebagai orang sulsel tepatnya suku Bugis kenapa kita mau menghina orang apalagi membawa nama suku atau agama kan tidak ada untungnya dan kalau uda seperti niya siapa nyesal
Neutral,aing org sunda
Disgust,klarifikasi boleh tapi tetep harus di sidak lanjutttt
Disgust,kabiasan gampang menta maap teu bisa kudu di proses😏
Disgust,Persoalan yg sangat sensitif. Kalo dengan klarifikasi & mohon maaf persoalan selesai maka bisa dipastikan akan terulang lagi.
Neutral,amin🤲🤲🤲
Disgust,jangan dimaafin proses hukum aja udah
Disgust,cari pekara......
Anger,preet .
Disgust,"saking takut nya😂😂😂, kasih 5 jari dulu"
Neutral,"orang pendateng di jakarta,ternyata"
Disgust,ulah loba ceta
Anger,hayang nyaho getihna warna naon
Disgust,nyesel ga tu 😂😂
Neutral,SAYA MEWAKILI ORANG SUNDA MEMAAFKAN RESBOB
Anger,MENYESAL PASTI BELAKANGAN PERLU DI BERI PELAJARAN
Neutral,😃😃😃
Disgust,mulai panik dia...🤭
Disgust,penjarakan sajah 20 Tahun MH baru aing maapkan
Disgust,hukum tetap berlanjut orang sunda tida akan memaapkan
Disgust,makanya jaga lesan ada jaga kesopanan ada
Disgust,tak ikhlas
Disgust,"Tiada maaf bagimu,"
Disgust,ga sesuai dengan gayanya 🤣
Disgust,😅😅😅😅😅
Disgust,hukum seberat2 nya
Disgust,KAMI TIDAK MENERIMA KLARIF APAPUN PILIHAN NYA PAKE BAJU OREN ATAU KAIN PUTIH!!
Disgust,hukum biar ada efek jera
Disgust,nanaonan atuh
Anger,"prosess
salam olah raga"
Disgust,"proses hukum di jalankan..
baru di maafkan"
Disgust,ga kapok2
Disgust,"prosess hukum tetap haru di tegakan,, katna sudah menghina"
Disgust,TANGKAP
Disgust,enak benar.minta.maap.
Disgust,hahahaha...lagu lama lo coyyy.
Disgust,Saya masih tidak percaya sedikitpun atas klarifikasi ini
Disgust,ku naon ceunah????
Anger,die k lampung urang ngopi bareng
Disgust,"telat telat hukum adat sunda masih berjalan. maap tidk bisa ada kata klaripikasi hukum tetap hukum, gk peduli orang mna ,,hukum adat tetap jalan"
Disgust,kok klarifikasi 🤣😂..
Disgust,saya bukan sodara sampean ngaku2 sodara dari mana
Disgust,😁😁😁
Disgust,baru nyadar ya bang ..
Neutral,ngenah teuing nta maaf teh
Disgust,sudah dapat di duga dan arahnya kemana..mangkanya selalu saja mengulang kasus2 yg sama...jadi kali ini harus di selesaikan secara tuntas agar menjadi contoh ke depannya
Disgust,"hukum tetap berjalan walaupun udah minta m,af juga"
Disgust,mbung mbung mbung👻
Disgust,tidak bisa begitu saja minta mmap...ayo dedengkot sunda ber tidak ...
Disgust,minta maap saja tidak cukup mesti di lanjut kan dengan secara hukum
Disgust,tangkap
Disgust,"Kata maaf saja tidak akan cukup, kami akan terus melanjutkan masalah ini secara hukum!!"
Disgust,saya jatim proses hukum agar lebih hati hati dalam berbicara terkait sara...
Disgust,HAHAHAHA
Anger,"hormati, cintai...ga gw g maafin lu,😏"
Disgust,Mkanya pikir dulu sebelum ucap
Disgust,kok udh gk sangar lgi broooo😅😅😅
Disgust,kumaha maneh we . Matak ulah saucap2na Ari babaung teh
Anger,makanya jadi manusia harus puya adab walupun bayak ilmu kalu nga ada adab nga ada arti kerna saya pernah dibilang anjing sampei kapanpun ada terus terhiang rasa sakit hati taterlupakan
Disgust,cari sampai jumpa
Disgust,aing te narima suku sunda di hina2....ttp proses
Disgust,takut ya bos
Disgust,"biasa ges benang mah ngajelaskeun, ucapan mah moal bisa di tarik deui, kaca peupeus loba gantina, tapi raheutna hate cik kunaon ubarna"
Disgust,".alahh hukum aja dya,,"
Disgust,berarti ngucapinnya pas lagi mabuk mungkin
Disgust,"saya orang Lampung berdarah Sunda .merasa takterima dengan perkataan mu bang .
#salam satu jiwa#"
Disgust,tidak ada kata maaf proses hukum nanti kebiasaan itu minta maaf.
Disgust,"mantak oge mikir Hela mang tong hina,,"
Sadness,karungan
Neutral,aing orang sunda
Sadness,"ni kalo di maafin oke
tapi kalo di biarin orang ini, gue sedih sama negara indonesia ini"
Disgust,gak Terima saya bang
Disgust,teu hayang pisan ngahampura na
Disgust,hukum berlaku teruskan hukum
Anger,sy cowok maaf ga mencintai anda 😏
Disgust,jelas lah perkataan anda menyingung perasaan orang sunda
Anger,preet.....
Disgust,saya maaf kan tapi proses hukum terus berlanjut...
Disgust,hukum berlaku....
Disgust,"ngehina organisasi si gw bisa maklum!! kalo tentang suku, sorry. gk dulu"
Disgust,"percuma klarifikasi, krna org Sunda terlanjur terluka......."
Disgust,sapali sekrg ngaky ngaku sodara
Disgust,maaf o tidak bisa 😏
Disgust,proses hukum harus berjalan
Disgust,"maaf boleh, tpi proses hukum harus jaln terus"
Anger,hyg nyiduhan Hela mah
Disgust,ngak ada maf
Disgust,jangan kasih ampun
Disgust,saya orang Jawa kasih paham siapapun sukunya jangan sampai sesekali menyinggung semua suku apapun alasannya itu ga benar kita harus menjujung tinggi adab dalam berbahasa
Anger,bukan menyinggung kalau menyinggung gak di ulang2 Omangannya
Disgust,mabok meren
Disgust,modus
Disgust,saya asli Jawa..tapi kalau saudara saya di hina..saya juga ikut gak terima... apa pun itu .tiada kata maaf .
Disgust,di maafkeun...ngan pakaulan hoyong pendak samenit weh...
Neutral,"hadir benten, Sunda asli"
Sadness,makana Hi rumah ulah sok dia doang te ngadahar bangku sakola penyesalan mah panderi
Disgust,"lidah memang tak bertulang boy TPI bisa menyakitkan bila tak bijak
lidah bisa lebih tajam dari pedang samurai"
Disgust,"kl tdk suka dgn seseorang,jgn bawa2 suku,blg sj oknum sunda"
Disgust,Gandenglah manehh
Disgust,sy asli orang Sunda jampang gak ikhlas kalau damai pokonya sy mau lanjut proses hukum titik
Disgust,heleh
Disgust,"tegakan hukum, aing orang sunda berlutut hela karak di maafken"
Anger,bukan menyinggung tp menghina..vdeo nya msh anget..
Disgust,saudara2... saya... 🤭 gubrakkkk memang ada ngaku dikau saudara gue 😂😂
Disgust,takutluuu
Fear,bikin perpecahan berahaya
Disgust,"saya org jawa, mungkin permintaan maaf bisa diterima oleh saudara suku sunda tapi proses hukum harus berjalan agar memberi efek jera terhadap yg bersangkutan serta orang lain, agar berhati hati ketika berbicara"
Disgust,ujung2 nya.........
Disgust,video nya ada ngomong ngak mungkin kok sakit yaa
Neutral,aamiin allahuma aamiin
Disgust,maaf di terima hukum berlanjut
Disgust,hukum tetap berjalan apapun klarifikasi ny sunda moal nga ganggu tapi lamun di ganggu moal mundur setapak ge
Disgust,proses aja....biar tidak terjadi lagi
Disgust,25 thn...apa ngga salah tuh ...
Disgust,lah kemarin dikatain sekarang saudara² saya 😂😂
Disgust,saya orang Jawa di riau setuju kalau ada orang yang menghina salah satu suku supaya di adili seberat beratnya
Neutral,saya orang betawi..tp saya jg gk suka orang sunda di hina
Disgust,telat jangan di kasih maaf dulu
Disgust,parah blm jls
Disgust,ulah di maaf keun
Disgust,Gk akan maaf kan udh relalu lancang
Anger,Ketemu langsung salam olahraga
Disgust,tong dihampuralah.!!!!
Disgust,"adat itu yang membedakan hanyalah bahasa,jika anda tidak suka dg seseorang,janganlah anda membawa adat istiadat orang,apalagi melalui sosmed,Anda bisa di pebjara"
Neutral,😤😤😤😤😤😡😡😡😡
Anger,ciduhan
Disgust,looooh looooh looooh koq mnt maaf 😂
Disgust,"proses hukum aja ,,,klw gk di proses hukum nnti psti akan di ulang lagi,,,"
Disgust,ngapain klarifikasi
Anger,alaaaaaahhhh. ..preettt
Neutral,🙂
Disgust,tes urin
Disgust,tahan 10 bulan
Neutral,😁
Disgust,"kudu Aya epek jera atuh iyeumah 😁, leres henteu?"
Disgust,cieeeaaa...unyilllllll...😂
Disgust,tanggung jawab mas..
Disgust,proses hukum
Disgust,malah curhat tentang kehidupan😹
Disgust,"jangan kasih ampun pa
tangkap aja"
Disgust,sudah kuduga🤣🤣🤣
Anger,geura ngukur boeh jang
Disgust,semoga cepet di tangkap
Disgust,KLO apa² bisa di selesaikan dengan kata maaf semua orang akan melakukan hal seenaknya dan akan mengulangi hal yg sama lgi lebih baik di proses hukum biar ada efek jera
Disgust,tidak ada kata damaii...
Disgust,proses
Disgust,makanya kalo bicara pikir 2dulu bro
Disgust,"akh geus d udag mah menta hampura,,asa ku gampang"
Disgust,hati hati mas jangan asal ucap
Disgust,tiada maaf bagimu
Disgust,ga cukup minta maaf broo
Disgust,penjarakan
Disgust,tida ada maap
Sadness,"teu bisa , geus kagok nyeri hate.."
Disgust,bosen ujung2nya minta maaf
Disgust,tidak ad kata mf .proses hukum harus d lanjutkan maju terus urang Sunda .
Disgust,"jelas2 penghinaan,minta maaf gampang"
Disgust,Uda gitu doang ? ga ada efek jera nya samsek ini mh
Disgust,ngomong naon maneh
Neutral,"di leg"" kuaing"
Anger,KECEPETAN.. KIRAIN NYALINYA NGALJ GODZILA..EH..BONGKREK JUGA
Disgust,terus dari mereka yg buat seperti ini ??
Disgust,moal di maap kan aing orang sunda
Disgust,gabang meta maap mah tapi maneh gomong kitu apa maksudna
Disgust,tiada maaf bagimu😡
Disgust,"jgn di maafin, klo gampang di maafin makin banyak org2 kaya gini"
Disgust,enteng banget kata mff selesai gitu aja? 😳
Disgust,barige na ari mneh
Disgust,"proSes secara hukum ,suku Sunda tidak menerima maaf berbentuk apapun TITIK"
Disgust,pan maneh th Islam meren
Disgust,tiada maaf bagimu
Disgust,ga saya maafkan
Anger,cintai apaan mnytt😹
Disgust,maaf boleh.. harus pakai baju orange..
Disgust,penjarakan
Disgust,picacapekeun wae atuda siamah
Disgust,😂😂😂
Neutral,"ngk usah di maafkan ,"
Disgust,"baru d,ingat semuah"
Disgust,jgn mau damai
Disgust,"TEU NARIMA KLARIFIKASI, HUKUM SESUAI PASAL YANG BERLAKU"
Anger,🤣🤣🤣heleh pret
Disgust,"meminta maaf kami masih bisa
terima untuk proses hukum harus tetap lanyjut"
Disgust,maneh..nanaonan!!
Disgust,tangkap adili
Disgust,kaya nya takut di penjarakan.. negara kita negara hukum... kalau minta maaf bebas dari hukum buat apa ada aturan dan undang undang
Disgust,proses hukum tetap berjalan
Disgust,bereskan walaupun minta maaf harus di proses ..
Disgust,gak mau maafin gw mah
Anger,hahahaha kadie ah ka tasik lwang duel jeng aing
Disgust,😁😁😁
Disgust,saya suku jawa terus terang ga trima penghinaan/ ujaran kbencian trhdp suku sunda.
Anger,kuring urang Sunda maaf kuring bukan saudara anda
Disgust,MOAL DI MAFKEUN TITIK SAGEDE IMAH
Neutral,seniman sunda no 1 udah turun tangan
Disgust,ngaku2 padang kagi
Sadness,tE nangiss
Disgust,proses hukum
Disgust,pantes aja 3 hari yang lalu sekarang di kembali menantang lagi sama teman-teman nya
Disgust,"kata maaf terlambat,proses hukum tetap diproses"
Disgust,jangan maaf innnn
Disgust,ngmong apaan si ga kedengeran😹
Disgust,"urang sunda ulah bager teing,urang padang arusaha di di daerah sunda tapi eweh nu ganggu"
Anger,preet.....
Disgust,tidaaaaaak
Disgust,🤣🤣🤣
Anger,culik yu lurrt
Disgust,jigana moal ditarima permohonan maaf ku urang Sunda hukum kudu ditegakkan jangan lupa hukum adat kudu aya
Disgust,tidak ada kata maaf
Disgust,"mangga minta maaf, tp hukum trus berlajut"
Anger,resbob anj
Disgust,baceo neupi ngabudah🤣🤣🤣
Anger,😡😡😡😡😡👊👊👊👊👊
Disgust,🤣
Disgust,Matak ge Ari ker emosi sungut dijaga ulah asal jeplak.hanjakal mah Tara tihela.
Anger,👊👊👊👊👊
Disgust,alesan lu
Disgust,terus saha
Disgust,jangan di ma af kan .kami Jawa Timur mendukung soudara Sunda.
Anger,"Gue termasuk Indonesia, berarti kena Gue njir dicintai katanya
cueehhhh ogah di cintai kamu 🤣🤣🤣"
Disgust,proses hukum ttp berjalan.
Disgust,🤣
Disgust,harus diproses😒
Disgust,hukum tetep berjalan
Disgust,proses hukum tetaf br jln TDK cukup dengan klarifikasi
Disgust,hukum abdi urang Sunda ..teu Sudi terim klarifikasi di.teyep hukum ..
Disgust,kami tak terima apapun aku org sunda
Disgust,"Menurut saya tinggal minta maaf saja ,kenapa harus blg ga percaya keluar dr mulut lah jd itu mulut siapa?hantu?"
Anger,kadek ku Aing
Disgust,proses harus berjalanan untuk pembelajaran..
Neutral,alesan supaya ga di penjara🤪
Disgust,gak ada maaf aing orang Sunda asa teu genah
Disgust,😂😂😂😂😂😂😂😂
Disgust,"ngehina organisasi si gw bisa maklum!! kalo tentang suku, sorry. gk dulu"
Anger,iki lo rek jupuk o sitok sitok
Anger,gua orang Sunda maksud lu apa bawa suku Sunda 🫵
Disgust,teu harayang menta hampura
Disgust,aing asli Cirebon Sunda aing te tarima
Disgust,ulah di hampura lah
Disgust,maaf boleh.. harus pakai baju orange..
Anger,mungpung can rebuan
Disgust,"KALAU SEMUA PERKARA DISELESAIKAN DENGAN KATA MAAF BUAT APA ADA PENGADILAN, AING ORANG SUNDA MERE HAMPURA TAPI PROSES HUKUM TETAP BERJALAN 👍"
Disgust,takut ya
Disgust,di maafkeun...ngan pakaulan hoyong pendak samenit weh...
Disgust,mantog an joang
Disgust,tong dibere hampura ..tuman
Disgust,g butuh klarifikasi
Disgust,makanya kalau mau ngomong dipikir dulu
Disgust,mana ada 🤣
Disgust,g ada kata ma af
Sadness,jangn mau di maafin sayah orang sunda banten sakit hati sama per katan nya
Neutral,amin mudah mudahan jd kesadaran
Disgust,cocok lanjut hukum berjalan
Neutral,maaf sory
Anger,preet ach bagong
Anger,preettt
Disgust,"meuni kalem pisan nyariosna .. teu sepertos nuju ngahina... sadayana urang Sunda..
Abdi mah nampi .. hapuntenna tapi
tetap keudah di proses...hukumna"
Disgust,😁😁😁😁 pinter ee
Disgust,trlambat kamu
Disgust,proses titik
Disgust,saya orang Sunda asli berdarah banten saya maafkan tapi hukum tetap harus berjalan
Sadness,mabok nyane aing nyeri hate
Disgust,moal di hampura kuaing dia
Anger,saya tidak punya saudara seperti kamu
Disgust,semangat menempuh hidup baru didunia lain💪💪💪💪
Neutral,itu yang mideonya gimana ga samain
Disgust,te narima aing MH sebagai orang sunda
Disgust,eta moyong na NU BNR euy ngomong na.
Disgust,kawal dia sampe masuk sell
Sadness,itu sangat menyakitkan kan buat kami orang sunda
Disgust,makan pencarian luh...
Disgust,solo rank ketemu Sunda auto lose
Disgust,sagampang itu ngomong hampura
Disgust,kumaha sia we
Disgust,jangan di maaf kn in orng
Anger,LIDAH LU KEREN . . .
Disgust,anak genz kayak nya😁
Disgust,emung ah mffin org sombong mah
